cluster,n_bits,n_active_mols,top_fg,top_fg_enrichment
0,20,1323,Aldehyde; Furan; Ester; Ether; Cyano,4.85; 2.55; 1.65; 1.32; 1.26
1,6,160,Halogen (I); Sulfoxide; Thiol; Phenol; Morpholine,2.50; 2.36; 2.36; 2.04; 2.04
2,14,964,Amide; Halogen (I); Thiophene; Thioether; Hydroxyl (aliphatic),2.60; 2.08; 1.74; 1.64; 1.61
3,6,131,Indole; Sulfoxide; Piperazine; Thioether; Thiol,5.72; 2.88; 2.76; 1.98; 1.92
4,9,312,Indole; Thiophene; Phenol; Furan; Piperazine,5.07; 2.53; 1.90; 1.74; 1.74
5,4,60,Sulfonamide; Sulfone; Thioether; Piperazine; Halogen (Cl),3.56; 2.43; 2.36; 2.26; 1.93
6,18,1359,Indole; Piperidine; Pyridine; Piperazine; Furan,4.72; 2.52; 2.42; 2.39; 2.24
7,33,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
8,6,92,Thiophene; Morpholine; Thioether; Piperazine; Pyridine,4.29; 3.54; 3.07; 2.94; 2.48
9,3,54,Thiol; Thiophene; Piperazine; Primary amine; Morpholine,9.31; 7.31; 5.85; 4.24; 4.02
10,17,1232,Tertiary amine; Thiophene; Halogen (Br); Thiol; Indole,2.65; 2.00; 1.85; 1.73; 1.69
11,2,32,Thiophene; Primary amine; Sulfonamide; Piperidine; Piperazine,6.16; 4.77; 3.34; 2.99; 2.82
12,6,439,Piperazine; Secondary amine; Piperidine; Cyano; Furan,4.42; 4.18; 3.18; 2.97; 2.72
13,6,119,Thiophene; Pyridine; Furan; Piperazine; Thioether,4.14; 3.56; 2.74; 2.66; 2.57
14,5,148,Sulfonamide; Furan; Thioether; Morpholine; Sulfone,4.57; 3.67; 2.23; 2.20; 1.97
15,26,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
16,4,67,Thioether; Morpholine; Nitro group; Amide; Furan,6.33; 3.24; 2.21; 1.63; 1.62
17,5,58,Indole; Thioether; Piperazine; Phenol; Aldehyde,4.31; 3.66; 2.34; 2.29; 2.13
18,4,82,Thiophene; Piperidine; Secondary amine; Cyano; Sulfone,3.61; 2.80; 2.43; 1.93; 1.78
19,4,54,Sulfoxide; Sulfone; Piperidine; Furan; Amide,6.98; 5.40; 2.13; 2.01; 1.82
20,4,72,Phenol; Piperidine; Amide; Furan; Sulfonamide,2.13; 2.13; 1.82; 1.51; 1.48
21,13,338,Sulfoxide; Furan; Indole; Secondary amine; Piperidine,4.46; 2.57; 2.46; 2.16; 2.04
22,13,392,Furan; Thioether; Thiophene; Morpholine; Sulfonamide,3.05; 2.59; 2.26; 2.22; 2.00
23,30,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
24,21,935,Thioether; Sulfoxide; Indole; Piperazine; Piperidine,4.18; 2.82; 1.78; 1.64; 1.47
25,8,772,Piperidine; Sulfone; Tertiary amine; Indole; Secondary amine,3.59; 3.21; 2.33; 2.05; 2.00
26,4,46,Sulfoxide; Pyrimidine; Furan; Thiophene; Carboxylic acid,16.40; 3.24; 2.36; 2.14; 1.89
27,8,112,Halogen (I); Piperidine; Halogen (F); Pyridine; Piperazine,4.47; 3.25; 2.67; 2.47; 2.42
28,7,215,Morpholine; Indole; Pyrimidine; Sulfonamide; Thioether,6.06; 3.10; 2.77; 2.48; 2.08
29,39,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
30,5,116,Aromatic amine; Halogen (F); Indole; Primary amine; Thioether,4.08; 2.82; 2.15; 1.97; 1.83
31,20,368,Piperazine; Ketone; Indole; Sulfone; Hydroxyl (aliphatic),2.70; 2.34; 2.04; 1.98; 1.91
32,8,321,Sulfone; Piperidine; Sulfoxide; Indole; Morpholine,4.09; 2.74; 2.35; 2.08; 2.03
33,17,695,Indole; Sulfoxide; Halogen (F); Ether; Ester,2.52; 2.17; 1.58; 1.53; 1.46
34,5,91,Sulfone; Sulfoxide; Morpholine; Thiophene; Sulfonamide,6.40; 4.14; 3.58; 3.25; 2.35
35,4,112,Amide; Indole; Morpholine; Sulfonamide; Thiophene,2.73; 2.23; 1.94; 1.91; 1.76
36,7,297,Indole; Hydroxyl (aliphatic); Halogen (I); Piperidine; Morpholine,4.49; 2.99; 2.70; 1.87; 1.83
37,7,220,Pyrimidine; Halogen (I); Piperazine; Halogen (F); Halogen (Cl),3.39; 3.19; 2.26; 2.07; 2.01
38,4,81,Primary amine; Sulfonamide; Thioether; Hydroxyl (aliphatic); Pyridine,2.83; 2.64; 2.33; 2.12; 2.01
39,9,263,Aldehyde; Morpholine; Halogen (I); Thiophene; Furan,4.45; 3.31; 2.29; 2.25; 2.07
40,6,251,Morpholine; Thioether; Furan; Piperazine; Thiophene,22.51; 3.10; 2.60; 2.52; 2.36
41,2,46,Thioether; Halogen (F); Nitro group; Indole; Sulfonamide,3.07; 2.79; 2.14; 1.81; 1.55
42,5,89,Sulfone; Secondary amine; Piperidine; Primary amine; Thiophene,3.27; 3.23; 2.58; 2.29; 2.22
43,9,271,Furan; Indole; Aldehyde; Thiophene; Piperidine,4.41; 3.69; 3.18; 2.55; 2.54
44,3,61,Halogen (F); Piperazine; Pyridine; Sulfone; Secondary amine,4.20; 2.96; 2.67; 2.39; 2.17
45,8,245,Morpholine; Piperazine; Furan; Sulfoxide; Indole,6.65; 4.42; 3.10; 3.08; 3.06
46,13,637,Indole; Thiophene; Secondary amine; Primary amine; Piperidine,6.01; 2.32; 1.94; 1.80; 1.77
47,4,49,Thiophene; Cyano; Sulfone; Pyridine; Halogen (F),4.03; 3.23; 2.97; 2.66; 2.62
48,7,150,Thioether; Morpholine; Piperidine; Amide; Hydroxyl (aliphatic),2.36; 2.17; 2.17; 1.82; 1.80
49,17,513,Aldehyde; Sulfoxide; Indole; Furan; Primary amine,2.40; 2.21; 2.11; 1.91; 1.83
50,3,58,Thiol; Morpholine; Furan; Sulfonamide; Thiophene,13.00; 3.75; 3.75; 3.68; 3.40
51,10,200,Pyrimidine; Thiophene; Sulfone; Furan; Sulfoxide,3.73; 2.96; 2.91; 2.72; 1.89
52,16,1624,Indole; Ether; Sulfoxide; Ester; Thiophene,2.20; 2.12; 1.86; 1.63; 1.58
53,6,118,Thiol; Halogen (I); Thiophene; Halogen (Br); Furan,10.65; 4.24; 2.51; 1.90; 1.84
54,5,76,Sulfonamide; Furan; Thiol; Piperazine; Thiophene,9.84; 4.29; 3.31; 2.97; 2.60
55,6,187,Sulfoxide; Piperidine; Halogen (F); Piperazine; Tertiary amine,4.03; 3.68; 2.97; 2.90; 2.30
56,17,726,Thiophene; Sulfonamide; Ketone; Sulfoxide; Halogen (I),2.45; 2.31; 2.24; 2.08; 1.93
57,9,926,Hydroxyl (aliphatic); Halogen (I); Indole; Sulfonamide; Pyrimidine,3.35; 2.16; 1.98; 1.65; 1.45
58,10,1601,Pyridine; Pyrimidine; Thiophene; Sulfoxide; Aromatic amine,3.29; 3.26; 2.28; 2.12; 1.89
