cluster,task,importance,n_active,n_valid,n_toxic,n_nontoxic,pct_toxic,pct_nontoxic,rank
2,NR-AR,0.001701,363,327,11,316,3.36,96.64,1
24,NR-AR,0.001497,136,130,8,122,6.15,93.85,2
51,NR-AR,0.001404,302,291,13,278,4.47,95.53,3
178,NR-AR,0.001376,27,27,4,23,14.81,85.19,4
157,NR-AR,0.001303,62,53,3,50,5.66,94.34,5
109,NR-AR,0.001103,42,42,1,41,2.38,97.62,6
70,NR-AR,0.0011,247,225,9,216,4.0,96.0,7
35,NR-AR,0.001003,210,196,10,186,5.1,94.9,8
167,NR-AR,0.000973,143,128,6,122,4.69,95.31,9
6,NR-AR,0.000968,51,42,0,42,0.0,100.0,10
119,NR-AR,0.00089,240,224,13,211,5.8,94.2,11
82,NR-AR,0.000886,14,13,2,11,15.38,84.62,12
81,NR-AR,0.000865,47,45,3,42,6.67,93.33,13
22,NR-AR,0.000857,193,170,7,163,4.12,95.88,14
134,NR-AR,0.000846,250,226,10,216,4.42,95.58,15
60,NR-AR,0.000837,116,108,5,103,4.63,95.37,16
45,NR-AR,0.000824,67,62,4,58,6.45,93.55,17
23,NR-AR,0.000804,198,179,20,159,11.17,88.83,18
104,NR-AR,0.000801,163,150,13,137,8.67,91.33,19
183,NR-AR,0.000796,93,84,4,80,4.76,95.24,20
101,NR-AR,0.000785,36,36,1,35,2.78,97.22,21
180,NR-AR,0.000778,11,11,2,9,18.18,81.82,22
44,NR-AR,0.000777,71,68,3,65,4.41,95.59,23
43,NR-AR,0.000773,310,286,13,273,4.55,95.45,24
159,NR-AR,0.000772,127,118,6,112,5.08,94.92,25
131,NR-AR,0.000757,10,10,2,8,20.0,80.0,26
67,NR-AR,0.000736,166,157,8,149,5.1,94.9,27
94,NR-AR,0.000735,267,248,9,239,3.63,96.37,28
138,NR-AR,0.000735,81,75,2,73,2.67,97.33,29
37,NR-AR,0.000726,168,145,15,130,10.34,89.66,30
111,NR-AR,0.000725,16,14,0,14,0.0,100.0,31
72,NR-AR,0.000702,153,139,6,133,4.32,95.68,32
98,NR-AR,0.000671,39,35,0,35,0.0,100.0,33
196,NR-AR,0.000647,21,20,0,20,0.0,100.0,34
3,NR-AR,0.000643,266,243,12,231,4.94,95.06,35
133,NR-AR,0.000626,10,10,0,10,0.0,100.0,36
