cluster,n_bits,chemical_label,physchem_flags,top_fg,top_smarts,rep_smiles,rep_mw,rep_logp,rep_hbd,rep_hba,rep_tpsa,rep_arom_rings,rep_frac_csp3,mean_importance_rank
0,20,Ether / Carboxylic acid,low-MW fragment,Ether; Carboxylic acid; Ester; Hydroxyl (aliphatic); Ketone,[#6]-[#6]=[#6]; [#6]=[#6]-[#6]; [#6]-[#6](:[#6]:[#6]:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,17.266666666666666
1,6,Hydroxyl (aliphatic) / Primary amine,low-MW fragment,Hydroxyl (aliphatic); Primary amine; Halogen (F); Thioether; Thiol,[#6]-[#6](:[#6]):[#6]:[#6](:[#6])-[#8]; [#6]-[#6]-[#6]-[#6](-[#6])-[#6]; [#6]/[#7]=[#6](\[#7])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,167.91666666666666
2,14,Amide / Hydroxyl (aliphatic),low-MW fragment,Amide; Hydroxyl (aliphatic); Primary amine; Carboxylic acid; Halogen (Br),[#6]-[#6](=[#8])-[#7]; [#6]-[#7]-[#6](:[#6]:[#6]):[#6]:[#6]; [#6]:[#6]:[#6](-[#7]-[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,42.63333333333333
3,6,Hydroxyl (aliphatic) / Halogen (Cl),low-MW fragment,Hydroxyl (aliphatic); Halogen (Cl); Cyano; Ether; Amide,[#7]-[#6](=[#7])-[#6]; [#6]-[#6](=[#6]-[#6]-[#6@@H])-[#6@@H]; [#7]:[#6]:[#6]:[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,167.33333333333334
4,9,Ether / Ketone,low-MW fragment,Ether; Ketone; Amide; Thioether; Hydroxyl (aliphatic),[#6]-[#7](-[#6])-[#6]; [#6]:[#6]:[#6](-[#8]):[#6](:[#6]):[#6]; [#6]-[#8]-[#6](=[#8])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,92.13333333333334
5,4,Halogen (Cl) / Sulfonamide,low-MW fragment,Halogen (Cl); Sulfonamide; Hydroxyl (aliphatic); Ether; Secondary amine,[#6]-[#6](-[#17])(-[#17])-[#17]; [#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#16](=[#8])(=[#8])-[#7]; [#7]-[#16](=[#8])(=[#8])-[#6](:[#6]:[#6]):[#6](:[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,209.26666666666668
6,18,Primary amine / Tertiary amine,low-MW fragment,Primary amine; Tertiary amine; Ether; Hydroxyl (aliphatic); Ketone,[#6]:[#6]:[#6]:[#6](:[#6]):[#6]; [#6]:[#6](:[#6]:[#6]:[#6]):[#6]; [#6]-[#7](-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,19.033333333333335
7,33,Primary amine / Tertiary amine,low-MW fragment,Primary amine; Tertiary amine; Thiol; Halogen (F); Amide,[#6]-[#7](-[#6])-[#6]; [#6]-[#7](-[#6])-[#6]-[#6]-[#7]; [#7]-[#6]-[#6]-[#7](-[#6])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,17.75
8,6,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether,[#6]:[#7](-[#6]-[#6]-[#8]):[#6]; [#7]=[#6](-[#6]-[#6]-[#6])-[#7]; [#6](-[#6@@H](-[#6@H](-[#6@@H])-[#6@])-[#8]-[#6@])-[#6@@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,207.1
9,3,Primary amine / Ketone,low-MW fragment,Primary amine; Ketone; Amide; Thiol,[#6]:[#6](-[#7]):[#7]; [#7]-[#6](:[#6]):[#7]; [#6]-[#6](=[#8])-[#7]-[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,219.28333333333333
