cluster,task,n_active,n_valid,n_toxic,n_nontoxic,pct_toxic,pct_nontoxic
0,NR-AR,17,15,0,15,0.0,100.0
0,NR-Aromatase,17,10,0,10,0.0,100.0
0,NR-PPAR-gamma,17,15,2,13,13.33,86.67
0,SR-HSE,17,13,0,13,0.0,100.0
0,NR-AR-LBD,17,15,2,13,13.33,86.67
0,NR-ER,17,13,2,11,15.38,84.62
0,SR-ARE,17,12,5,7,41.67,58.33
0,SR-MMP,17,12,2,10,16.67,83.33
0,NR-AhR,17,14,1,13,7.14,92.86
0,NR-ER-LBD,17,15,1,14,6.67,93.33
0,SR-ATAD5,17,15,3,12,20.0,80.0
0,SR-p53,17,15,0,15,0.0,100.0
1,NR-AR,1,1,0,1,0.0,100.0
1,NR-Aromatase,1,1,0,1,0.0,100.0
1,SR-HSE,1,1,1,0,100.0,0.0
1,NR-AR-LBD,1,1,0,1,0.0,100.0
1,NR-ER,1,1,0,1,0.0,100.0
1,SR-ARE,1,1,1,0,100.0,0.0
1,SR-MMP,1,1,0,1,0.0,100.0
1,NR-ER-LBD,1,1,0,1,0.0,100.0
1,SR-ATAD5,1,1,0,1,0.0,100.0
1,SR-p53,1,1,0,1,0.0,100.0
2,NR-AR,3,3,0,3,0.0,100.0
2,NR-Aromatase,3,2,0,2,0.0,100.0
2,NR-PPAR-gamma,3,3,0,3,0.0,100.0
2,SR-HSE,3,3,0,3,0.0,100.0
2,NR-AR-LBD,3,3,0,3,0.0,100.0
2,NR-ER,3,3,0,3,0.0,100.0
2,SR-ARE,3,2,0,2,0.0,100.0
2,SR-MMP,3,3,0,3,0.0,100.0
2,NR-AhR,3,2,1,1,50.0,50.0
2,NR-ER-LBD,3,3,0,3,0.0,100.0
2,SR-ATAD5,3,3,0,3,0.0,100.0
2,SR-p53,3,3,0,3,0.0,100.0
3,NR-AR,2,2,0,2,0.0,100.0
3,NR-Aromatase,2,2,0,2,0.0,100.0
3,NR-PPAR-gamma,2,2,0,2,0.0,100.0
3,SR-HSE,2,1,0,1,0.0,100.0
3,NR-AR-LBD,2,2,0,2,0.0,100.0
3,NR-ER,2,1,0,1,0.0,100.0
3,SR-MMP,2,1,0,1,0.0,100.0
3,NR-AhR,2,1,0,1,0.0,100.0
3,NR-ER-LBD,2,2,0,2,0.0,100.0
3,SR-ATAD5,2,2,0,2,0.0,100.0
3,SR-p53,2,1,0,1,0.0,100.0
4,NR-AR,2,2,0,2,0.0,100.0
4,SR-HSE,2,1,0,1,0.0,100.0
4,NR-AR-LBD,2,1,0,1,0.0,100.0
4,NR-ER,2,2,1,1,50.0,50.0
4,SR-ARE,2,1,1,0,100.0,0.0
4,NR-AhR,2,2,1,1,50.0,50.0
4,NR-ER-LBD,2,2,1,1,50.0,50.0
4,SR-ATAD5,2,1,1,0,100.0,0.0
5,NR-AR,1,1,0,1,0.0,100.0
5,NR-Aromatase,1,1,0,1,0.0,100.0
5,NR-PPAR-gamma,1,1,0,1,0.0,100.0
5,SR-HSE,1,1,0,1,0.0,100.0
5,NR-AR-LBD,1,1,0,1,0.0,100.0
5,NR-ER,1,1,0,1,0.0,100.0
5,SR-MMP,1,1,0,1,0.0,100.0
5,NR-ER-LBD,1,1,0,1,0.0,100.0
5,SR-ATAD5,1,1,0,1,0.0,100.0
5,SR-p53,1,1,0,1,0.0,100.0
6,NR-AR,2,2,0,2,0.0,100.0
6,NR-Aromatase,2,1,0,1,0.0,100.0
6,NR-PPAR-gamma,2,1,0,1,0.0,100.0
6,SR-HSE,2,1,0,1,0.0,100.0
6,NR-AR-LBD,2,2,0,2,0.0,100.0
6,NR-ER,2,1,0,1,0.0,100.0
6,SR-ARE,2,1,0,1,0.0,100.0
6,SR-MMP,2,1,0,1,0.0,100.0
6,NR-AhR,2,2,1,1,50.0,50.0
6,NR-ER-LBD,2,2,0,2,0.0,100.0
6,SR-ATAD5,2,2,0,2,0.0,100.0
6,SR-p53,2,2,0,2,0.0,100.0
7,NR-AR,10,10,0,10,0.0,100.0
7,NR-Aromatase,10,7,1,6,14.29,85.71
7,NR-PPAR-gamma,10,7,0,7,0.0,100.0
7,SR-HSE,10,6,0,6,0.0,100.0
7,NR-AR-LBD,10,8,0,8,0.0,100.0
7,NR-ER,10,6,0,6,0.0,100.0
7,SR-ARE,10,4,1,3,25.0,75.0
7,SR-MMP,10,5,1,4,20.0,80.0
7,NR-AhR,10,10,1,9,10.0,90.0
7,NR-ER-LBD,10,9,0,9,0.0,100.0
7,SR-ATAD5,10,8,0,8,0.0,100.0
7,SR-p53,10,9,0,9,0.0,100.0
9,NR-AR,7,7,1,6,14.29,85.71
9,NR-Aromatase,7,7,0,7,0.0,100.0
9,NR-PPAR-gamma,7,7,0,7,0.0,100.0
9,SR-HSE,7,6,0,6,0.0,100.0
9,NR-AR-LBD,7,7,1,6,14.29,85.71
9,NR-ER,7,7,1,6,14.29,85.71
9,SR-ARE,7,6,0,6,0.0,100.0
9,SR-MMP,7,6,2,4,33.33,66.67
9,NR-AhR,7,7,0,7,0.0,100.0
9,NR-ER-LBD,7,7,0,7,0.0,100.0
9,SR-ATAD5,7,7,0,7,0.0,100.0
9,SR-p53,7,6,1,5,16.67,83.33
10,NR-AR,14,13,1,12,7.69,92.31
10,NR-Aromatase,14,9,0,9,0.0,100.0
10,NR-PPAR-gamma,14,10,0,10,0.0,100.0
10,SR-HSE,14,13,1,12,7.69,92.31
10,NR-AR-LBD,14,12,1,11,8.33,91.67
10,NR-ER,14,11,1,10,9.09,90.91
10,SR-ARE,14,8,1,7,12.5,87.5
10,SR-MMP,14,5,0,5,0.0,100.0
10,NR-AhR,14,11,1,10,9.09,90.91
10,NR-ER-LBD,14,12,1,11,8.33,91.67
10,SR-ATAD5,14,13,2,11,15.38,84.62
10,SR-p53,14,12,1,11,8.33,91.67
11,NR-AR,1,1,0,1,0.0,100.0
11,NR-Aromatase,1,1,0,1,0.0,100.0
11,NR-PPAR-gamma,1,1,1,0,100.0,0.0
11,SR-HSE,1,1,0,1,0.0,100.0
11,NR-AR-LBD,1,1,0,1,0.0,100.0
11,NR-ER,1,1,0,1,0.0,100.0
11,SR-ARE,1,1,0,1,0.0,100.0
11,NR-AhR,1,1,0,1,0.0,100.0
11,NR-ER-LBD,1,1,0,1,0.0,100.0
11,SR-ATAD5,1,1,0,1,0.0,100.0
11,SR-p53,1,1,0,1,0.0,100.0
12,NR-AR,5,4,0,4,0.0,100.0
12,NR-Aromatase,5,4,0,4,0.0,100.0
12,NR-PPAR-gamma,5,4,0,4,0.0,100.0
12,SR-HSE,5,3,0,3,0.0,100.0
12,NR-AR-LBD,5,4,0,4,0.0,100.0
12,NR-ER,5,3,0,3,0.0,100.0
12,SR-ARE,5,3,1,2,33.33,66.67
12,SR-MMP,5,4,0,4,0.0,100.0
12,NR-AhR,5,4,0,4,0.0,100.0
12,NR-ER-LBD,5,4,0,4,0.0,100.0
12,SR-ATAD5,5,4,0,4,0.0,100.0
12,SR-p53,5,4,0,4,0.0,100.0
13,NR-AR,3,3,0,3,0.0,100.0
13,NR-Aromatase,3,3,0,3,0.0,100.0
13,NR-PPAR-gamma,3,3,0,3,0.0,100.0
13,SR-HSE,3,3,0,3,0.0,100.0
13,NR-AR-LBD,3,3,0,3,0.0,100.0
13,NR-ER,3,3,0,3,0.0,100.0
13,SR-ARE,3,3,0,3,0.0,100.0
13,SR-MMP,3,2,0,2,0.0,100.0
13,NR-AhR,3,3,0,3,0.0,100.0
13,NR-ER-LBD,3,3,0,3,0.0,100.0
13,SR-ATAD5,3,3,0,3,0.0,100.0
13,SR-p53,3,3,0,3,0.0,100.0
15,NR-AR,1,1,0,1,0.0,100.0
15,NR-Aromatase,1,1,0,1,0.0,100.0
15,NR-PPAR-gamma,1,1,0,1,0.0,100.0
15,SR-HSE,1,1,0,1,0.0,100.0
15,NR-AR-LBD,1,1,0,1,0.0,100.0
15,NR-ER,1,1,0,1,0.0,100.0
15,SR-ARE,1,1,0,1,0.0,100.0
15,SR-MMP,1,1,1,0,100.0,0.0
15,NR-AhR,1,1,0,1,0.0,100.0
15,NR-ER-LBD,1,1,0,1,0.0,100.0
15,SR-ATAD5,1,1,0,1,0.0,100.0
15,SR-p53,1,1,0,1,0.0,100.0
16,NR-AR,1,1,0,1,0.0,100.0
16,NR-Aromatase,1,1,0,1,0.0,100.0
16,NR-PPAR-gamma,1,1,0,1,0.0,100.0
16,SR-HSE,1,1,0,1,0.0,100.0
16,NR-AR-LBD,1,1,0,1,0.0,100.0
16,NR-ER,1,1,0,1,0.0,100.0
16,SR-ARE,1,1,0,1,0.0,100.0
16,SR-MMP,1,1,0,1,0.0,100.0
16,NR-AhR,1,1,0,1,0.0,100.0
16,NR-ER-LBD,1,1,0,1,0.0,100.0
16,SR-ATAD5,1,1,0,1,0.0,100.0
16,SR-p53,1,1,0,1,0.0,100.0
18,NR-AR,1,1,0,1,0.0,100.0
18,NR-Aromatase,1,1,0,1,0.0,100.0
18,NR-PPAR-gamma,1,1,0,1,0.0,100.0
18,SR-HSE,1,1,0,1,0.0,100.0
18,NR-AR-LBD,1,1,0,1,0.0,100.0
18,NR-ER,1,1,0,1,0.0,100.0
18,SR-ARE,1,1,0,1,0.0,100.0
18,NR-AhR,1,1,0,1,0.0,100.0
18,NR-ER-LBD,1,1,0,1,0.0,100.0
18,SR-ATAD5,1,1,0,1,0.0,100.0
18,SR-p53,1,1,0,1,0.0,100.0
19,NR-AR,2,2,0,2,0.0,100.0
19,NR-Aromatase,2,2,0,2,0.0,100.0
19,NR-PPAR-gamma,2,2,0,2,0.0,100.0
19,SR-HSE,2,2,0,2,0.0,100.0
19,NR-AR-LBD,2,2,0,2,0.0,100.0
19,NR-ER,2,2,0,2,0.0,100.0
19,SR-ARE,2,2,0,2,0.0,100.0
19,SR-MMP,2,1,0,1,0.0,100.0
19,NR-AhR,2,2,0,2,0.0,100.0
19,NR-ER-LBD,2,2,0,2,0.0,100.0
19,SR-ATAD5,2,2,0,2,0.0,100.0
19,SR-p53,2,2,0,2,0.0,100.0
20,NR-AR,1,1,1,0,100.0,0.0
20,NR-Aromatase,1,1,1,0,100.0,0.0
20,NR-PPAR-gamma,1,1,0,1,0.0,100.0
20,SR-HSE,1,1,0,1,0.0,100.0
20,NR-AR-LBD,1,1,1,0,100.0,0.0
20,SR-ARE,1,1,1,0,100.0,0.0
20,SR-MMP,1,1,0,1,0.0,100.0
20,NR-AhR,1,1,0,1,0.0,100.0
20,NR-ER-LBD,1,1,0,1,0.0,100.0
20,SR-ATAD5,1,1,0,1,0.0,100.0
20,SR-p53,1,1,0,1,0.0,100.0
21,NR-AR,3,3,0,3,0.0,100.0
21,NR-Aromatase,3,3,0,3,0.0,100.0
21,NR-PPAR-gamma,3,3,0,3,0.0,100.0
21,SR-HSE,3,3,0,3,0.0,100.0
21,NR-AR-LBD,3,3,0,3,0.0,100.0
21,NR-ER,3,3,0,3,0.0,100.0
21,SR-ARE,3,3,0,3,0.0,100.0
21,SR-MMP,3,3,0,3,0.0,100.0
21,NR-AhR,3,2,1,1,50.0,50.0
21,NR-ER-LBD,3,3,0,3,0.0,100.0
21,SR-ATAD5,3,3,0,3,0.0,100.0
21,SR-p53,3,3,0,3,0.0,100.0
22,NR-AR,4,3,0,3,0.0,100.0
22,NR-Aromatase,4,3,0,3,0.0,100.0
22,NR-PPAR-gamma,4,3,0,3,0.0,100.0
22,SR-HSE,4,2,0,2,0.0,100.0
22,NR-AR-LBD,4,3,0,3,0.0,100.0
22,NR-ER,4,3,0,3,0.0,100.0
22,SR-ARE,4,2,0,2,0.0,100.0
22,SR-MMP,4,2,0,2,0.0,100.0
22,NR-AhR,4,3,0,3,0.0,100.0
