task,jaccard_topk_mean,jaccard_topk_std,spearman_mean,spearman_std,n_seed_pairs
NR-AR,0.48869979477416303,0.08789032996936659,0.7580593913397685,0.06429664345269256,10
NR-Aromatase,0.3704375787821669,0.028283413217812275,0.6289382390778206,0.04393744076234767,10
NR-PPAR-gamma,0.42382306506084666,0.04322382429751271,0.6552671152495284,0.025440518228398365,10
SR-HSE,0.41780186155843085,0.0694907916381733,0.6547930209875712,0.049084462510590975,10
NR-AR-LBD,0.2955668219691906,0.08261539028932038,0.5942345765831547,0.09311212336617962,10
NR-ER,0.4982934956429254,0.0920402936049538,0.7486037730649837,0.05657688959725767,10
SR-ARE,0.5338282657823064,0.061899086306495266,0.7661377495611617,0.03960338223483559,10
SR-MMP,0.509600288381017,0.04434184622197477,0.7086230977284409,0.03454399463175116,10
NR-AhR,0.4540201390835664,0.06249606001198102,0.6764571776257909,0.07195858550643044,10
NR-ER-LBD,0.4089292502426775,0.05873013247416813,0.671377431166442,0.02689193536254253,10
SR-ATAD5,0.3856482645753435,0.07737992508365492,0.6167586043382964,0.067519571159751,10
SR-p53,0.4488813216230767,0.05028511184509579,0.6867940503325705,0.058810827655734046,10
