task,jaccard_topk_mean,jaccard_topk_std,spearman_mean,spearman_std,n_seed_pairs
NR-AR,0.7431403944215781,0.04148300025050294,0.9286161784738874,0.00557868544583901,10
NR-Aromatase,0.7188884389644431,0.033715211592331686,0.9312952868155729,0.0056234123133387754,10
NR-PPAR-gamma,0.7487629799220435,0.02984930072785894,0.9356266430811147,0.00638108524435057,10
SR-HSE,0.7308251234856176,0.035761500116075026,0.9258109792819,0.011022416219731084,10
NR-AR-LBD,0.6962906074722021,0.048510443612262984,0.9215846468722848,0.007703540573867489,10
NR-ER,0.743249188802728,0.04378234463764898,0.9300288671157106,0.006211809216630993,10
SR-ARE,0.7099165645091642,0.029401244311873923,0.93447511405733,0.005969196965625388,10
SR-MMP,0.752642192058969,0.048097473467449844,0.9284285311104842,0.009223686399831427,10
NR-AhR,0.7560434220820575,0.054563313491948054,0.9277649652327925,0.009029196561242812,10
NR-ER-LBD,0.7616537861546937,0.04424809927115252,0.9280717700053114,0.010780220659048037,10
SR-ATAD5,0.7220106512748804,0.03755986356265974,0.9210173047136291,0.012246767361812867,10
SR-p53,0.7370801678762551,0.041167564167584526,0.9233365852357706,0.005501166758569561,10
