task,cluster,n_bits,mean_rank,rank_std,n_seeds,n_active_mols,top_fg,top_fg_enrichment
NR-AR,63,51,0.2,0.4472135954999579,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
NR-AR,168,79,0.8,0.4472135954999579,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
NR-AR,128,42,4.8,2.588435821108957,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
NR-AR,29,39,5.2,2.949576240750525,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
NR-AR,7,33,5.8,2.8635642126552705,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
NR-AR,23,30,7.2,3.8987177379235853,5,824,Sulfoxide; Indole; Thiophene; Piperidine; Tertiary amine,3.20; 2.22; 1.80; 1.53; 1.46
NR-AR,15,26,8.4,3.646916505762094,5,718,Sulfoxide; Phenol; Halogen (I); Sulfonamide; Nitro group,3.15; 2.88; 2.09; 1.89; 1.65
NR-AR,81,19,9.6,6.06630035524124,5,525,Halogen (I); Thiophene; Secondary amine; Piperidine; Hydroxyl (aliphatic),2.48; 2.44; 1.77; 1.71; 1.65
NR-AR,70,27,10.6,8.87693640846886,5,2801,Ester; Ether; Amide; Ketone; Carboxylic acid,2.14; 1.63; 1.52; 1.47; 1.43
NR-AR,62,24,13.0,6.892024376045111,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
NR-AR,110,20,15.0,5.787918451395113,5,1830,Indole; Primary amine; Secondary amine; Hydroxyl (aliphatic); Piperidine,2.27; 2.07; 1.96; 1.72; 1.70
NR-AR,74,19,18.2,16.69431040804022,5,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
NR-AR,66,13,19.2,7.293833011524188,5,1198,Thiophene; Furan; Sulfonamide; Ester; Aromatic amine,1.89; 1.63; 1.61; 1.50; 1.48
NR-AR,33,17,23.0,12.649110640673518,5,695,Indole; Sulfoxide; Halogen (F); Ether; Ester,2.52; 2.17; 1.58; 1.53; 1.46
NR-AR,49,17,23.0,10.88577052853862,5,513,Aldehyde; Sulfoxide; Indole; Furan; Primary amine,2.40; 2.21; 2.11; 1.91; 1.83
NR-AR,31,20,27.4,18.635986692418516,5,368,Piperazine; Ketone; Indole; Sulfone; Hydroxyl (aliphatic),2.70; 2.34; 2.04; 1.98; 1.91
NR-AR,113,13,28.2,15.17234326002414,5,250,Sulfone; Halogen (F); Indole; Hydroxyl (aliphatic); Pyridine,2.91; 2.28; 2.00; 1.67; 1.63
NR-AR,108,14,32.4,15.290519938837921,5,420,Sulfoxide; Thioether; Secondary amine; Piperidine; Primary amine,2.69; 2.47; 2.37; 2.23; 2.06
