task,cluster,n_bits,mean_rank,rank_std,n_seeds,n_active_mols,top_fg,top_fg_enrichment
NR-AR,70,27,1.2,0.4472135954999579,5,2801,Ester; Ether; Amide; Ketone; Carboxylic acid,2.14; 1.63; 1.52; 1.47; 1.43
NR-AR,168,79,1.8,1.7888543819998317,5,1964,Piperidine; Piperazine; Thiophene; Tertiary amine; Indole,3.06; 2.14; 2.01; 1.99; 1.87
NR-AR,72,15,2.4,4.33589667773576,5,2571,Indole; Thiophene; Benzene ring; Pyridine; Piperazine,2.27; 1.80; 1.68; 1.66; 1.63
NR-AR,57,9,4.0,1.5811388300841898,5,926,Hydroxyl (aliphatic); Halogen (I); Indole; Sulfonamide; Pyrimidine,3.35; 2.16; 1.98; 1.65; 1.45
NR-AR,139,12,4.4,4.878524367060187,5,2383,Halogen (Cl); Phenol; Nitro group; Piperazine; Halogen (F),2.68; 1.69; 1.63; 1.61; 1.55
NR-AR,189,9,9.4,4.722287581247038,5,942,Morpholine; Secondary amine; Ester; Ketone; Pyrimidine,2.08; 2.07; 1.75; 1.72; 1.58
NR-AR,0,20,12.0,6.284902544988268,5,1323,Aldehyde; Furan; Ester; Ether; Cyano,4.85; 2.55; 1.65; 1.32; 1.26
NR-AR,7,33,13.2,4.08656334834051,5,2223,Halogen (F); Piperazine; Morpholine; Piperidine; Sulfoxide,2.88; 2.82; 2.64; 2.56; 2.21
NR-AR,128,42,14.2,10.940749517286282,5,2454,Furan; Morpholine; Thiophene; Piperazine; Ketone,2.61; 2.61; 1.73; 1.71; 1.69
NR-AR,10,17,15.0,3.3166247903554,5,1232,Tertiary amine; Thiophene; Halogen (Br); Thiol; Indole,2.65; 2.00; 1.85; 1.73; 1.69
NR-AR,63,51,15.8,9.654014708917737,5,2400,Secondary amine; Indole; Amide; Sulfonamide; Thiophene,2.14; 2.08; 2.08; 2.06; 1.85
NR-AR,58,10,17.4,9.289779329994873,5,1601,Pyridine; Pyrimidine; Thiophene; Sulfoxide; Aromatic amine,3.29; 3.26; 2.28; 2.12; 1.89
NR-AR,184,7,19.2,9.148770409186143,5,246,Pyrimidine; Piperazine; Furan; Pyridine; Secondary amine,6.67; 4.59; 2.65; 2.32; 2.25
NR-AR,287,8,19.2,9.311283477587825,5,1216,Aromatic amine; Primary amine; Sulfonamide; Amide; Indole,5.27; 5.25; 2.99; 1.70; 1.64
NR-AR,52,16,19.8,10.425929215182693,5,1624,Indole; Ether; Sulfoxide; Ester; Thiophene,2.20; 2.12; 1.86; 1.63; 1.58
NR-AR,252,4,20.8,15.336231610144651,5,465,Thiophene; Ester; Morpholine; Ether; Amide,2.55; 2.33; 1.87; 1.82; 1.47
NR-AR,190,13,24.8,9.731392500562292,5,793,Secondary amine; Hydroxyl (aliphatic); Morpholine; Aldehyde; Halogen (F),3.62; 2.75; 1.78; 1.48; 1.38
NR-AR,62,24,25.4,13.831124321616086,5,1314,Nitro group; Sulfonamide; Sulfone; Thiophene; Thioether,4.88; 2.74; 2.55; 1.58; 1.45
NR-AR,29,39,30.4,8.61974477580398,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
NR-AR-LBD,72,15,7.8,13.026895255585652,5,2571,Indole; Thiophene; Benzene ring; Pyridine; Piperazine,2.27; 1.80; 1.68; 1.66; 1.63
NR-AR-LBD,139,12,10.0,5.0990195135927845,5,2383,Halogen (Cl); Phenol; Nitro group; Piperazine; Halogen (F),2.68; 1.69; 1.63; 1.61; 1.55
NR-AR-LBD,0,20,12.0,8.426149773176359,5,1323,Aldehyde; Furan; Ester; Ether; Cyano,4.85; 2.55; 1.65; 1.32; 1.26
NR-AR-LBD,52,16,18.8,10.779610382569492,5,1624,Indole; Ether; Sulfoxide; Ester; Thiophene,2.20; 2.12; 1.86; 1.63; 1.58
NR-AR-LBD,110,20,23.0,13.341664064126334,5,1830,Indole; Primary amine; Secondary amine; Hydroxyl (aliphatic); Piperidine,2.27; 2.07; 1.96; 1.72; 1.70
NR-AR-LBD,29,39,25.6,15.501612819316577,5,1763,Aldehyde; Thiophene; Thioether; Sulfoxide; Piperazine,3.64; 3.64; 2.66; 2.35; 2.18
NR-AR-LBD,58,10,28.4,12.441864811996632,5,1601,Pyridine; Pyrimidine; Thiophene; Sulfoxide; Aromatic amine,3.29; 3.26; 2.28; 2.12; 1.89
NR-AR-LBD,287,8,31.2,13.700364958642524,5,1216,Aromatic amine; Primary amine; Sulfonamide; Amide; Indole,5.27; 5.25; 2.99; 1.70; 1.64
NR-AhR,72,15,1.0,1.0,5,2571,Indole; Thiophene; Benzene ring; Pyridine; Piperazine,2.27; 1.80; 1.68; 1.66; 1.63
NR-AhR,287,8,1.6,1.8165902124584952,5,1216,Aromatic amine; Primary amine; Sulfonamide; Amide; Indole,5.27; 5.25; 2.99; 1.70; 1.64
NR-AhR,139,12,1.6,0.8944271909999159,5,2383,Halogen (Cl); Phenol; Nitro group; Piperazine; Halogen (F),2.68; 1.69; 1.63; 1.61; 1.55
NR-AhR,70,27,2.2,1.4832396974191326,5,2801,Ester; Ether; Amide; Ketone; Carboxylic acid,2.14; 1.63; 1.52; 1.47; 1.43
NR-AhR,6,18,5.4,1.9493588689617927,5,1359,Indole; Piperidine; Pyridine; Piperazine; Furan,4.72; 2.52; 2.42; 2.39; 2.24
NR-AhR,74,19,7.6,3.646916505762094,5,1438,Phenol; Sulfoxide; Halogen (I); Indole; Sulfonamide,4.46; 2.88; 2.23; 1.97; 1.96
NR-AhR,58,10,8.8,4.8166378315169185,5,1601,Pyridine; Pyrimidine; Thiophene; Sulfoxide; Aromatic amine,3.29; 3.26; 2.28; 2.12; 1.89
NR-AhR,189,9,12.0,8.12403840463596,5,942,Morpholine; Secondary amine; Ester; Ketone; Pyrimidine,2.08; 2.07; 1.75; 1.72; 1.58
NR-AhR,10,17,13.6,10.039920318408907,5,1232,Tertiary amine; Thiophene; Halogen (Br); Thiol; Indole,2.65; 2.00; 1.85; 1.73; 1.69
NR-AhR,110,20,18.2,6.723094525588644,5,1830,Indole; Primary amine; Secondary amine; Hydroxyl (aliphatic); Piperidine,2.27; 2.07; 1.96; 1.72; 1.70
