task,jaccard_topk_mean,jaccard_topk_std,spearman_mean,spearman_std,n_seed_pairs
NR-AR,0.4446514268099245,0.049195254916198354,0.6929167657418416,0.020711966957276857,10
NR-Aromatase,0.4237674294644185,0.043286417319563356,0.6836844409382327,0.024420905883602042,10
NR-PPAR-gamma,0.49320912439661724,0.0318402627348612,0.6797773753041699,0.031664492180376425,10
SR-HSE,0.5052075809116214,0.04674026089827966,0.6550035444838276,0.01787889029835046,10
NR-AR-LBD,0.46312345985139397,0.040702625684420825,0.6760976010844564,0.030176734349205977,10
NR-ER,0.4523354413758218,0.03752624304041594,0.6886826742519362,0.03315868438986408,10
SR-ARE,0.5122356528258475,0.05044806700279413,0.6825426949188323,0.017787665502076694,10
SR-MMP,0.4630548363132247,0.03934699390020685,0.687656751741686,0.02755872394273076,10
NR-AhR,0.498651686789292,0.04940142630904917,0.7028349203880043,0.03849598382800505,10
NR-ER-LBD,0.47994640012810025,0.031073009265788296,0.6919297325525839,0.030523590342460938,10
SR-ATAD5,0.460623928812685,0.03370213258040637,0.6680184446493851,0.030695613641842784,10
SR-p53,0.4496687995560048,0.06213063237523486,0.6649478771986355,0.0239081812771746,10
